Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168),22/36,0.0054898814080475,0.0380185094360461,0,0,2.484421460892049,12.931037624998597,PIAS4;ACTR2;WDR48;PARP1;TRRAP;FUS;ACTL6A;YEATS4;MBTD1;MORF4L1;MRGBP;VPS72;RUVBL2;MORF4L2;RUVBL1;EP400;EPC1;MMS19;BRD8;DMAP1;ARID2;HDGFL2
GO_Biological_Process_2023,Protein Destabilization (GO:0031648),22/36,0.0054898814080475,0.0380185094360461,0,0,2.484421460892049,12.931037624998597,DAZAP2;CREBBP;GSN;FBXW11;CUL3;PLK1;DERL1;HTT;MUL1;PEX2;RAD23A;NR1D1;SIRT1;CDC73;RNF139;SUMO1;CCDC88C;MDM2;CTSH;EP300;FBXL3;SERF2
GO_Biological_Process_2023,Regulation Of Intracellular Protein Transport (GO:0033157),22/36,0.0054898814080475,0.0380185094360461,0,0,2.484421460892049,12.931037624998597,GSK3B;BCAS3;PLK3;B3GAT3;MBD1;GCC2;ZFAND1;SIRT7;OAZ1;OAZ2;UHMK1;BMP4;FRAT1;FRAT2;IFI27;PDCD10;RUFY3;TPR;LCP1;ERGIC3;VAMP2;NDEL1
GO_Biological_Process_2023,Cell-Substrate Junction Assembly (GO:0007044),18/28,0.0055430987696326,0.0381474536269836,0,0,2.8452513244605244,14.78165420449912,DST;ITGB4;SRC;RCC2;FN1;TESK2;LAMC1;PTPRK;DYNLL1;RHOD;BCR;CTTN;PEAK1;TAOK2;PIP5K1A;ITGA6;ARHGEF7;PLEC
GO_Biological_Process_2023,Establishment Of Endothelial Barrier (GO:0061028),18/28,0.0055430987696326,0.0381474536269836,0,0,2.8452513244605244,14.78165420449912,RAB1A;RAB1B;PDE2A;MSN;F11R;RAP1B;RAP2C;TJP1;RAP1A;CLDN3;MARVELD2;MYADM;PECAM1;RAPGEF1;F2RL1;EZR;TJP3;TJP2
GO_Biological_Process_2023,Membrane Fusion (GO:0061025),18/28,0.0055430987696326,0.0381474536269836,0,0,2.8452513244605244,14.78165420449912,NAPA;NSF;GCA;SNAP23;USO1;NAPG;DPP4;NSFL1C;RABIF;RABEP1;VAPA;CHP1;STX3;DNM1L;SNAP29;VAMP2;VTI1B;VAMP3
GO_Biological_Process_2023,Establishment Of Mitotic Spindle Localization (GO:0040001),21/34,0.005558910389666,0.0381474536269836,0,0,2.5537944475379843,13.260202677342363,ITGB1;GPSM2;HDAC3;NUMA1;DCTN1;FBXW11;PLK1;HTT;CENPA;NSFL1C;GJA1;ZW10;INSC;NUSAP1;MAPRE1;MISP;CLASP1;KPNB1;NDEL1;MAD2L1;PAFAH1B1
GO_Biological_Process_2023,Negative Regulation Of Mitotic Cell Cycle (GO:0045930),21/34,0.005558910389666,0.0381474536269836,0,0,2.5537944475379843,13.260202677342363,CDKN1C;BTG2;BTG1;CDKN1B;SCRIB;ZFP36L2;CHFR;ZWINT;ZFP36L1;BMP4;TOM1L1;SLC9A3R1;TOM1L2;RGCC;NME6;NABP2;CTNNB1;NABP1;AURKAIP1;MAD2L1;PTPN3
GO_Biological_Process_2023,Protein Targeting To Vacuole (GO:0006623),21/34,0.005558910389666,0.0381474536269836,0,0,2.5537944475379843,13.260202677342363,SCARB2;BECN1;PXK;VPS4A;NCOA4;VPS13D;PIK3R4;LAPTM5;M6PR;VPS37C;GCC2;VPS37A;VPS37B;NAGPA;SORL1;AP3M1;HGS;NEDD4;VPS8;VPS41;SQSTM1
GO_Biological_Process_2023,Mitotic Cytokinesis (GO:0000281),33/59,0.005559104005903,0.0381474536269836,0,0,2.007533960084452,10.423755386518325,RTKN;ROCK1;ROCK2;CDCA8;CENPA;AURKB;SPAST;RACGAP1;CFL1;STMN1;NUSAP1;SNX9;SPTBN1;USP8;PDCD6IP;EXOC7;PLK1;EXOC6B;RHOC;TTC19;RHOB;SNX18;SON;APC;RASA1;RAB35;BIRC5;EXOC3;JTB;EXOC6;EXOC5;STAMBP;EXOC2
