group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region
Bottom villous SI,Ndufa5,49.781967,15.050026,0.0,0.0,0.9977941176470588,0.9732261640798227,Duodenum
Bottom villous SI,Casp6,49.679478,6.7667475,0.0,0.0,0.9857843137254902,0.9110310421286031,Duodenum
Bottom villous SI,Gsta4,49.61591,19.885645,0.0,0.0,0.9921568627450981,0.9372505543237251,Duodenum
Bottom villous SI,Ndufv3,49.55829,12.916361,0.0,0.0,0.9928921568627451,0.9470620842572062,Duodenum
Bottom villous SI,Acaa2,49.387283,9.278307,0.0,0.0,0.9926470588235294,0.9621951219512195,Duodenum
Bottom villous SI,Atp5l,49.38506,31.207281,0.0,0.0,0.9995098039215686,0.9957317073170732,Duodenum
Bottom villous SI,Car4,49.269035,4.5845184,0.0,0.0,0.8644607843137255,0.6172949002217295,Duodenum
Bottom villous SI,Sema4g,49.167263,3.594732,0.0,0.0,0.9754901960784313,0.8670731707317073,Duodenum
Bottom villous SI,Ndufb3,48.900944,9.898361,0.0,0.0,0.9958333333333333,0.9557095343680709,Duodenum
Bottom villous SI,Casp1,48.71165,3.71987,0.0,0.0,0.9080882352941176,0.7038248337028825,Duodenum
Bottom villous SI,Fabp2,48.692883,inf,0.0,0.0,1.0,1.0,Duodenum
Bottom villous SI,Lypd8,48.546455,31.687584,0.0,0.0,0.9992647058823529,0.9900776053215078,Duodenum
Bottom villous SI,Atp5g1,48.41891,20.225767,0.0,0.0,0.9963235294117647,0.9745565410199557,Duodenum
Bottom villous SI,Adh6a,48.076622,28.114008,0.0,0.0,1.0,0.9892461197339246,Duodenum
Bottom villous SI,Arg2,48.023384,23.50386,0.0,0.0,0.9995098039215686,0.9886917960088691,Duodenum
Bottom villous SI,Aprt,47.88783,11.82742,0.0,0.0,0.9965686274509804,0.968070953436807,Duodenum
Bottom villous SI,Mrpl51,47.60126,5.8658237,0.0,0.0,0.9816176470588235,0.9117516629711752,Duodenum
Bottom villous SI,Sis,47.33434,63.487255,0.0,0.0,0.9992647058823529,0.9924611973392461,Duodenum
Bottom villous SI,Anxa13,47.248905,10.282131,0.0,0.0,0.9980392156862745,0.969789356984479,Duodenum
Bottom villous SI,Rpl21,47.2457,27.131744,0.0,0.0,0.996078431372549,0.9842017738359202,Duodenum
Bottom villous SI,Glod5,46.908096,14.746458,0.0,0.0,0.9781862745098039,0.9045454545454545,Duodenum
Bottom villous SI,Micos10,46.771164,15.659562,0.0,0.0,0.9973039215686275,0.9776607538802661,Duodenum
Bottom villous SI,Atp5a1,46.40728,25.814938,0.0,0.0,1.0,0.9982815964523282,Duodenum
Bottom villous SI,Mgst2,46.228798,9.000502,0.0,0.0,0.9884803921568628,0.927660753880266,Duodenum
Bottom villous SI,Atp5g2,46.07493,10.20826,0.0,0.0,0.9926470588235294,0.9651330376940133,Duodenum
Bottom villous SI,Pgam1,46.07447,6.507964,0.0,0.0,0.9892156862745098,0.9355321507760532,Duodenum
Bottom villous SI,Otc,46.024303,4.240799,0.0,0.0,0.9595588235294118,0.8610310421286032,Duodenum
Bottom villous SI,Ndufc2,46.00237,7.6445746,0.0,0.0,0.9740196078431372,0.8977827050997783,Duodenum
Bottom villous SI,Ppia,45.604744,19.970816,0.0,0.0,0.996078431372549,0.978159645232816,Duodenum
Bottom villous SI,Ndufb6,45.585182,8.520282,0.0,0.0,0.9801470588235294,0.9184035476718404,Duodenum
Bottom villous SI,Prdx1,45.486122,44.299793,0.0,0.0,1.0,0.9973946784922395,Duodenum
Bottom villous SI,Acot13,45.45607,4.89122,0.0,0.0,0.9470588235294117,0.8218957871396896,Duodenum
Bottom villous SI,Reg3a,45.38361,10.808216,0.0,0.0,0.9382352941176471,0.8012749445676275,Duodenum
Bottom villous SI,Decr1,45.354,4.163913,0.0,0.0,0.9681372549019608,0.8655764966740577,Duodenum
Bottom villous SI,Sdha,45.174725,7.699611,0.0,0.0,0.9948529411764706,0.9651330376940133,Duodenum
Bottom villous SI,Marc2,45.16366,18.88724,0.0,0.0,0.9995098039215686,0.9938470066518847,Duodenum
Bottom villous SI,Naca,45.143066,9.106471,0.0,0.0,0.9950980392156863,0.9644124168514412,Duodenum
Bottom villous SI,Prdx6,45.046337,5.452147,0.0,0.0,0.9730392156862745,0.9034922394678492,Duodenum
Bottom villous SI,Atp5f1,44.970306,18.037342,0.0,0.0,0.9990196078431373,0.9861973392461197,Duodenum
Bottom villous SI,Uqcrc2,44.771645,6.7244115,0.0,0.0,0.9840686274509803,0.9432926829268292,Duodenum
Bottom villous SI,Lgals2,44.615784,29.211735,0.0,0.0,0.9997549019607843,0.9930155210643016,Duodenum
Bottom villous SI,Rpl23,44.575237,21.838009,0.0,0.0,0.9995098039215686,0.992960088691796,Duodenum
Bottom villous SI,Aldoa,44.56451,6.5764136,0.0,0.0,0.9931372549019608,0.9554878048780487,Duodenum
Bottom villous SI,Nlrp6,44.548748,3.3375247,0.0,0.0,0.9453431372549019,0.8138580931263858,Duodenum
Bottom villous SI,Rps3a1,44.503155,16.28879,0.0,0.0,0.9992647058823529,0.9939024390243902,Duodenum
Bottom villous SI,Calml4,44.42305,20.165369,0.0,0.0,0.9987745098039216,0.9771064301552106,Duodenum
Bottom villous SI,Cox5b,44.366085,29.592573,0.0,0.0,0.996078431372549,0.9848669623059867,Duodenum
Bottom villous SI,Tmem147,44.3647,3.4881835,0.0,0.0,0.9166666666666666,0.7618070953436807,Duodenum
Bottom villous SI,Cox7a2,44.269947,32.73691,0.0,0.0,0.9995098039215686,0.9879711751662971,Duodenum
Bottom villous SI,Selenow,43.989525,8.935795,0.0,0.0,0.9936274509803922,0.9669623059866962,Duodenum
Bottom villous SI,Ndufb11,43.96688,8.965532,0.0,0.0,0.9838235294117647,0.9444013303769402,Duodenum
Bottom villous SI,Cox6b1,43.953674,26.294338,0.0,0.0,0.9992647058823529,0.9892461197339246,Duodenum
Bottom villous SI,Ndufb5,43.921432,9.101421,0.0,0.0,0.9921568627450981,0.9590909090909091,Duodenum
Bottom villous SI,Sec61b,43.809082,7.0873804,0.0,0.0,0.9752450980392157,0.9174611973392461,Duodenum
Bottom villous SI,Atp5md,43.598194,30.132433,0.0,0.0,0.9997549019607843,0.9884700665188471,Duodenum
Bottom villous SI,Atp5h,43.577072,19.669033,0.0,0.0,0.9982843137254902,0.9776607538802661,Duodenum
Bottom villous SI,Bpnt1,43.532818,11.82625,0.0,0.0,0.9980392156862745,0.982039911308204,Duodenum
Bottom villous SI,Cisd3,43.52244,4.8116636,0.0,0.0,0.9605392156862745,0.8707317073170732,Duodenum
Bottom villous SI,Rpl36al,43.45776,8.684902,0.0,0.0,0.9933823529411765,0.9694013303769401,Duodenum
Bottom villous SI,Etfb,43.449673,6.331296,0.0,0.0,0.9889705882352942,0.9452328159645232,Duodenum
Bottom villous SI,Atf4,43.410915,3.803246,0.0,0.0,0.9870098039215687,0.9187915742793792,Duodenum
Bottom villous SI,Fmo4,43.289227,2.337356,0.0,0.0,0.859313725490196,0.6045454545454545,Duodenum
Bottom villous SI,H1f0,43.263206,4.3552775,0.0,0.0,0.9919117647058824,0.9498891352549889,Duodenum
Bottom villous SI,Ndufs2,43.15408,6.5303793,0.0,0.0,0.9928921568627451,0.9692350332594235,Duodenum
Bottom villous SI,Plcb3,43.058903,4.0980587,0.0,0.0,0.984313725490196,0.9286031042128603,Duodenum
Bottom villous SI,Timm17a,42.99309,3.0255206,0.0,0.0,0.8774509803921569,0.6792128603104213,Duodenum
Bottom villous SI,Coq7,42.973656,2.3839674,0.0,0.0,0.8406862745098039,0.5789356984478936,Duodenum
Bottom villous SI,Hdhd3,42.85503,2.9104042,0.0,0.0,0.9049019607843137,0.7285476718403547,Duodenum
Bottom villous SI,Ndufs5,42.844677,7.7474723,0.0,0.0,0.983578431372549,0.930820399113082,Duodenum
Bottom villous SI,Rdh7,42.832775,5.004841,0.0,0.0,0.9666666666666667,0.8507760532150777,Duodenum
Bottom villous SI,Rpl22,42.74733,10.093938,0.0,0.0,0.9946078431372549,0.9727827050997783,Duodenum
Bottom villous SI,Tmem14c,42.74098,5.679281,0.0,0.0,0.9789215686274509,0.9068181818181819,Duodenum
Bottom villous SI,Lgals4,42.66014,41.86664,0.0,0.0,1.0,0.9991130820399113,Duodenum
Bottom villous SI,Ndufa8,42.657475,5.6789064,0.0,0.0,0.9715686274509804,0.8920177383592017,Duodenum
Bottom villous SI,Ppa1,42.578033,11.160502,0.0,0.0,0.9943627450980392,0.9699556541019956,Duodenum
Bottom villous SI,Me2,42.577656,4.7752895,0.0,0.0,0.9688725490196078,0.8661862527716186,Duodenum
Bottom villous SI,Adh4,42.560062,2.6128738,0.0,0.0,0.7522058823529412,0.4429046563192905,Duodenum
Bottom villous SI,Dlst,42.558815,4.6184573,0.0,0.0,0.9825980392156862,0.9233370288248337,Duodenum
Bottom villous SI,Cox5a,42.539463,22.272959,0.0,0.0,0.9982843137254902,0.9885254988913525,Duodenum
Bottom villous SI,Atp5k,42.454277,17.96189,0.0,0.0,0.9990196078431373,0.9914634146341463,Duodenum
Bottom villous SI,Aldh1a7,42.452972,2.6763296,0.0,0.0,0.8127450980392157,0.5618625277161863,Duodenum
Bottom villous SI,Tomm22,42.419575,3.8360517,0.0,0.0,0.9661764705882353,0.8748337028824834,Duodenum
Bottom villous SI,Cox7b,42.331276,29.197346,0.0,0.0,0.9995098039215686,0.9899667405764967,Duodenum
Bottom villous SI,Urah,42.226402,2.7239358,0.0,0.0,0.8029411764705883,0.5421840354767185,Duodenum
Bottom villous SI,Ndrg1,42.196938,2.8965483,0.0,0.0,0.9002450980392157,0.6948447893569845,Duodenum
Bottom villous SI,Tmem120a,42.188686,5.6268406,0.0,0.0,0.9916666666666667,0.9386363636363636,Duodenum
Bottom villous SI,Prxl2b,42.151417,5.6558204,0.0,0.0,0.9681372549019608,0.871230598669623,Duodenum
Bottom villous SI,Aldh1b1,42.141422,4.322136,0.0,0.0,0.9875,0.9298780487804879,Duodenum
Bottom villous SI,Ociad2,42.015434,7.077837,0.0,0.0,0.9791666666666666,0.9259977827050998,Duodenum
Bottom villous SI,Mrps21,41.96685,5.1376357,0.0,0.0,0.9541666666666667,0.8503325942350333,Duodenum
Bottom villous SI,Lamtor4,41.958996,4.2289762,0.0,0.0,0.9661764705882353,0.8879711751662971,Duodenum
Bottom villous SI,Atp5j2,41.938923,33.408146,0.0,0.0,0.9997549019607843,0.9970620842572062,Duodenum
Bottom villous SI,Ss18l2,41.876045,2.596834,0.0,0.0,0.8737745098039216,0.66990022172949,Duodenum
Bottom villous SI,Baiap2l2,41.852753,2.7671921,0.0,0.0,0.9600490196078432,0.8220620842572062,Duodenum
Bottom villous SI,Tmem86b,41.59476,3.7194912,0.0,0.0,0.924264705882353,0.7788802660753881,Duodenum
Bottom villous SI,Hsd17b4,41.513615,4.7504,0.0,0.0,0.9659313725490196,0.8869733924611973,Duodenum
Bottom villous SI,Slc39a5,41.48532,2.8971848,0.0,0.0,0.9340686274509804,0.7972283813747228,Duodenum
Bottom villous SI,Anapc13,41.388878,3.984852,0.0,0.0,0.9377450980392157,0.822560975609756,Duodenum
Bottom villous SI,Anpep,41.361416,32.561977,0.0,0.0,1.0,0.991019955654102,Duodenum
Bottom villous SI,Smlr1,41.312782,3.8294795,0.0,0.0,0.9274509803921569,0.7700665188470066,Duodenum
Bottom villous SI,Mlxipl,41.282417,2.324401,0.0,0.0,0.9139705882352941,0.739689578713969,Duodenum
Bottom villous SI,Slc51a,41.282158,4.8583703,0.0,0.0,0.9850490196078432,0.9174611973392461,Duodenum
Bottom villous SI,Ap2m1,41.262493,5.2327194,0.0,0.0,0.9825980392156862,0.9216186252771619,Duodenum
Bottom villous SI,Uqcr10,41.239277,19.663137,0.0,0.0,0.9995098039215686,0.9887472283813747,Duodenum
Bottom villous SI,Slc26a3,41.205475,2.9797215,0.0,0.0,0.925,0.7545454545454545,Duodenum
Bottom villous SI,Gm49980,41.03118,3.869588,0.0,0.0,0.9931372549019608,0.9559866962305986,Duodenum
Bottom villous SI,Aldh9a1,40.92447,4.4089932,0.0,0.0,0.9593137254901961,0.8575942350332594,Duodenum
Bottom villous SI,Acadm,40.9154,3.248514,0.0,0.0,0.9453431372549019,0.8159645232815964,Duodenum
Bottom villous SI,Plac8,40.78517,103.66669,0.0,0.0,1.0,0.9991130820399113,Duodenum
Bottom villous SI,Btf3,40.750694,7.2985272,0.0,0.0,0.9958333333333333,0.9717849223946785,Duodenum
Bottom villous SI,Ppp1r1b,40.633957,2.9434538,0.0,0.0,0.9203431372549019,0.7680155210643016,Duodenum
Bottom villous SI,Mien1,40.632404,4.127121,0.0,0.0,0.9504901960784313,0.8425720620842572,Duodenum
Bottom villous SI,Smim22,40.62599,10.943185,0.0,0.0,0.9985294117647059,0.9819290465631929,Duodenum
Bottom villous SI,Lad1,40.505585,2.9233515,0.0,0.0,0.9296568627450981,0.7932372505543237,Duodenum
Bottom villous SI,Nedd8,40.4734,5.8356376,0.0,0.0,0.9806372549019607,0.9200110864745011,Duodenum
Bottom villous SI,Gstm2,40.42799,2.814834,0.0,0.0,0.8318627450980393,0.6041574279379157,Duodenum
Bottom villous SI,Mdh2,40.219585,31.049011,0.0,0.0,0.9985294117647059,0.9950665188470067,Duodenum
Bottom villous SI,Gstm1,40.21736,15.842761,0.0,0.0,0.9816176470588235,0.9157982261640798,Duodenum
Bottom villous SI,Tbca,40.205242,5.655817,0.0,0.0,0.9678921568627451,0.871119733924612,Duodenum
Bottom villous SI,Cpt2,40.102684,3.3849072,0.0,0.0,0.9600490196078432,0.8600332594235033,Duodenum
Bottom villous SI,Dad1,40.09961,6.536829,0.0,0.0,0.9752450980392157,0.9135254988913526,Duodenum
Bottom villous SI,Tm4sf5,40.087368,25.30961,0.0,0.0,0.9995098039215686,0.9914079822616408,Duodenum
Bottom villous SI,Rpl4,40.06153,9.167637,0.0,0.0,0.9933823529411765,0.976330376940133,Duodenum
Bottom villous SI,Ndufa12,40.026646,8.833236,0.0,0.0,0.9818627450980392,0.930210643015521,Duodenum
Bottom villous SI,Papss2,39.94471,27.60699,0.0,0.0,0.9997549019607843,0.9853104212860311,Duodenum
Bottom villous SI,Sem1,39.87741,6.6399965,0.0,0.0,0.9936274509803922,0.9543237250554324,Duodenum
Bottom villous SI,Rps4x,39.834488,15.362334,0.0,0.0,0.9965686274509804,0.986529933481153,Duodenum
Bottom villous SI,Ucp2,39.573727,17.29726,0.0,0.0,0.990686274509804,0.9585365853658536,Duodenum
Bottom villous SI,Sec11c,39.542717,2.7420995,0.0,0.0,0.8862745098039215,0.7261086474501108,Duodenum
Bottom villous SI,Atp5j,39.496296,18.679375,0.0,0.0,0.9946078431372549,0.9710088691796009,Duodenum
Bottom villous SI,Fau,39.46492,52.514847,0.0,0.0,1.0,0.9988913525498891,Duodenum
Bottom villous SI,Txndc17,39.376606,15.022861,0.0,0.0,0.9943627450980392,0.9582594235033259,Duodenum
Bottom villous SI,Higd1a,39.351883,6.6627045,0.0,0.0,0.9857843137254902,0.9253880266075388,Duodenum
Bottom villous SI,Hint1,39.23655,16.308193,0.0,0.0,0.9982843137254902,0.9851441241685144,Duodenum
Bottom villous SI,Eny2,39.19632,3.2603397,0.0,0.0,0.9208333333333333,0.7893015521064302,Duodenum
Bottom villous SI,Cox20,39.025322,3.4245965,0.0,0.0,0.8977941176470589,0.752549889135255,Duodenum
Bottom villous SI,Ces2g,38.99974,2.9682693,0.0,0.0,0.8799019607843137,0.7028270509977828,Duodenum
Bottom villous SI,Idh3a,38.973396,3.3148313,0.0,0.0,0.9350490196078431,0.826330376940133,Duodenum
Bottom villous SI,H3f3b,38.91991,10.589382,0.0,0.0,0.9973039215686275,0.98519955654102,Duodenum
Bottom villous SI,Txn2,38.8652,4.09497,0.0,0.0,0.9754901960784313,0.9110310421286031,Duodenum
Bottom villous SI,Cmbl,38.835983,4.108692,0.0,0.0,0.953186274509804,0.842239467849224,Duodenum
Bottom villous SI,Tmem253,38.816715,2.4743216,0.0,0.0,0.8772058823529412,0.6959534368070953,Duodenum
Bottom villous SI,Dync1h1,38.76383,3.0766416,0.0,0.0,0.9647058823529412,0.8797117516629712,Duodenum
Bottom villous SI,Micos13,38.656235,6.0795617,0.0,0.0,0.9705882352941176,0.9185144124168514,Duodenum
Bottom villous SI,Ndufb7,38.636524,7.727058,0.0,0.0,0.9926470588235294,0.9665188470066519,Duodenum
Bottom villous SI,Pomp,38.549126,5.810617,0.0,0.0,0.9860294117647059,0.9369733924611974,Duodenum
Bottom villous SI,Bdh1,38.45285,2.35384,0.0,0.0,0.9235294117647059,0.774390243902439,Duodenum
Bottom villous SI,Aldoc,38.449036,2.2297456,0.0,0.0,0.6958333333333333,0.39611973392461197,Duodenum
Bottom villous SI,Adtrp,38.415733,3.083219,0.0,0.0,0.9470588235294117,0.8261640798226164,Duodenum
Bottom villous SI,Hkdc1,38.35083,3.8023918,0.0,0.0,0.9821078431372549,0.9138026607538803,Duodenum
Bottom villous SI,Nars,38.30587,2.3333874,0.0,0.0,0.8850490196078431,0.7146341463414634,Duodenum
Bottom villous SI,Fkbp2,38.278275,3.1162758,0.0,0.0,0.8970588235294118,0.7700665188470066,Duodenum
Bottom villous SI,Apol10a,38.254414,2.1297004,0.0,0.0,0.8375,0.5849778270509978,Duodenum
Bottom villous SI,Rps24,38.241585,21.127604,0.0,0.0,0.9995098039215686,0.9973392461197339,Duodenum
Bottom villous SI,Sptssa,38.179398,5.036983,0.0,0.0,0.9747549019607843,0.9011640798226164,Duodenum
Bottom villous SI,Tomm7,38.094093,5.172764,0.0,0.0,0.9764705882352941,0.9321507760532151,Duodenum
Bottom villous SI,Idh3b,38.089695,3.245977,0.0,0.0,0.925,0.8049889135254988,Duodenum
Bottom villous SI,Cps1,38.034576,3.9265196,0.0,0.0,0.9811274509803921,0.942239467849224,Duodenum
Bottom villous SI,Swi5,37.988403,3.3788927,0.0,0.0,0.9571078431372549,0.8713414634146341,Duodenum
Bottom villous SI,Ndufa2,37.923916,10.243,0.0,0.0,0.9980392156862745,0.9847006651884701,Duodenum
Bottom villous SI,Hspa9,37.88372,3.7051542,0.0,0.0,0.983578431372549,0.9565964523281596,Duodenum
Bottom villous SI,Cth,37.84154,2.4307156,0.0,0.0,0.9107843137254902,0.7542682926829268,Duodenum
Bottom villous SI,Akr1c19,37.823975,10.483359,0.0,0.0,0.9950980392156863,0.9537694013303769,Duodenum
Bottom villous SI,Aamdc,37.81218,5.4310527,0.0,0.0,0.9752450980392157,0.9048780487804878,Duodenum
Bottom villous SI,Abat,37.79594,1.9744039,0.0,0.0,0.8112745098039216,0.5658536585365853,Duodenum
Bottom villous SI,Sod2,37.79407,3.0363247,0.0,0.0,0.9325980392156863,0.8170177383592018,Duodenum
Bottom villous SI,Calm2,37.766087,5.8949485,0.0,0.0,0.9784313725490196,0.9303769401330377,Duodenum
Bottom villous SI,Mgst3,37.71587,19.471018,0.0,0.0,0.9909313725490196,0.9569290465631929,Duodenum
Bottom villous SI,Ube4b,37.701572,2.3485034,0.0,0.0,0.8997549019607843,0.7331485587583149,Duodenum
Bottom villous SI,Pfkp,37.6711,3.0624416,1.47719900602915e-310,2.038092731181675e-308,0.9605392156862745,0.8710088691796009,Duodenum
Bottom villous SI,Higd2a,37.658325,4.803429,2.39057500383106e-310,3.284243148880251e-308,0.9605392156862745,0.8751108647450111,Duodenum
Bottom villous SI,Gm21885,37.629192,2.4474154,7.163657051664e-310,9.799943555634425e-308,0.5676470588235294,0.23137472283813748,Duodenum
Bottom villous SI,Abcd3,37.616867,4.7308135,1.13942872921765e-309,1.5521711612992346e-307,0.9799019607843137,0.9221175166297118,Duodenum
Bottom villous SI,Ndufs7,37.52977,5.258487,3.012486846958987e-308,4.086476380423147e-306,0.9745098039215686,0.9312638580931264,Duodenum
Bottom villous SI,Nomo1,37.52848,2.3771467,3.1618093066238133e-308,4.271088429470703e-306,0.9181372549019607,0.7902993348115299,Duodenum
Bottom villous SI,Mrpl12,37.45012,4.590188,5.980321200854382e-307,8.044777915399322e-305,0.9811274509803921,0.9476164079822617,Duodenum
Bottom villous SI,Myl12b,37.41822,8.416185,1.9754647888531417e-306,2.646385091623389e-304,0.9938725490196079,0.9645232815964523,Duodenum
Bottom villous SI,Rpl29,37.3766,10.794163,9.379024437488146e-306,1.2512471238194412e-303,0.9799019607843137,0.9442904656319291,Duodenum
Bottom villous SI,Prdx2,37.356434,6.1033154,1.993411262771153e-305,2.6484478443854597e-303,0.9857843137254902,0.9423503325942351,Duodenum
Bottom villous SI,Ndufb8,37.33823,9.075841,3.935983772943884e-305,5.2079195126841516e-303,0.9921568627450981,0.9622505543237251,Duodenum
Bottom villous SI,Rpl5,37.27723,7.487789,3.8385686663992804e-304,5.058293444681665e-302,0.991421568627451,0.967849223946785,Duodenum
Bottom villous SI,Snrpd3,37.215733,2.4380667,3.7989360793046434e-303,4.985717533347578e-301,0.9240196078431373,0.7938470066518847,Duodenum
Bottom villous SI,Hadhb,37.18547,3.3783095,1.171883756912522e-302,1.531751704126347e-300,0.9629901960784314,0.8817627494456762,Duodenum
Bottom villous SI,Uqcrq,37.16999,24.65834,2.084511360491429e-302,2.71364714812362e-300,0.9968137254901961,0.9921840354767184,Duodenum
Bottom villous SI,Cbr1,37.164776,12.363934,2.5309867287510243e-302,3.281642832840435e-300,0.995343137254902,0.9579822616407982,Duodenum
Bottom villous SI,Prelid1,37.06412,12.486631,1.063727089005817e-300,1.3682242656793943e-298,0.9970588235294118,0.9766075388026607,Duodenum
Bottom villous SI,Ap1m2,37.06023,2.2873757,1.2288363440845877e-300,1.574324657490909e-298,0.9196078431372549,0.7700110864745011,Duodenum
Bottom villous SI,Suclg1,37.05009,4.9275866,1.789926321363262e-300,2.2841016318265973e-298,0.9409313725490196,0.8603658536585366,Duodenum
Bottom villous SI,Smim24,37.030125,70.9837,3.7516980601778435e-300,4.7686445619229005e-298,1.0,0.9985033259423504,Duodenum
Bottom villous SI,Ndufa9,37.004307,2.7863212,9.763597567505187e-300,1.2361480292819803e-297,0.9191176470588235,0.806430155210643,Duodenum
