Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,analysis
GO_Cellular_Component_2023,Endoplasmic Reticulum Membrane (GO:0005789),66/801,2.135095211818065e-05,0.0005177605888658808,0,0,1.806784760108664,19.430911723068636,LMBR1L;CCDC47;ATP2A2;MSMO1;MAGT1;NSDHL;SPTLC1;SEC61B;TMEM38A;CERS6;ELOVL5;ACSL1;ATP6AP2;CYBA;ALG11;TMEM174;SREBF2;DPM1;DPM2;TMEM258;WDR81;SELENOS;DAD1;CANX;PIGL;PIGG;UBA52;PON3;VCP;ABCB6;ATL3;RPN2;MGST2;TMTC2;HSD17B12;HACD2;HSP90B1;APOO;PTDSS2;GRIN2A;GPAT4;EMC2;VTI1A;EMC4;EMC7;SEC11A;FDFT1;HSD3B7;HSD3B2;MBOAT7;SVIP;DHRS3;DHRS4;EXT1;EXT2;SQLE;CLCN4;CNIH1;GLB1;REEP4;OSTC;DOLPP1;CYP2S1;BAX;COPG2;STT3B,Ileum-specific tip markers
GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),38/367,1.0539023333191157e-05,0.0015314864959442,0,0,2.30460663113539,26.411773022439775,PSMD12;VCP;RNF34;PSMD14;NEDD4L;NEDD8;PTPN23;RCHY1;FBXO22;PSMB7;PSMD6;SHARPIN;HECTD1;PSMB2;ZSWIM8;PSMD1;PSMF1;RFFL;XBP1;FBXL17;UBE4A;KLHL22;UBE4B;FBXO11;RAD23B;RC3H2;KCTD6;PJA2;RBX1;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;WDR81;PSMA1;PSMC3;PSMA2,Ileum-specific tip markers
GO_Cellular_Component_2023,Lysosomal Membrane (GO:0005765),34/356,0.0001500520147522815,0.0033588566379164,0,0,2.0986726160223363,18.477822983679943,ABCB6;CLEC16A;AP2A1;MAGT1;ATRAID;RPTOR;AP3M1;PIP4P2;BLOC1S1;BLOC1S2;AP1S1;ATP6V0E2;LDLR;ATP6V1C1;AP1M2;AP1M1;MANBA;ATP6AP2;AP3D1;NDUFC2;LNPEP;MCOLN1;TMEM175;RMC1;EEF1A1;RRAGA;CLCN4;WDR81;TMEM79;KXD1;LAMTOR4;UBA52;LAMTOR3;LAMTOR5,Ileum-specific tip markers
GO_Cellular_Component_2023,Mitochondrial Intermembrane Space (GO:0005758),11/62,0.0001807070344054813,0.003756124786571,0,0,4.245260759905622,36.58834631492866,CHCHD4;TIMM8B;NLN;NDUFA8;HSD3B2;BLOC1S1;AK2;ARL2;CHCHD10;TRIAP1;COA7,Ileum-specific tip markers
GO_Cellular_Component_2023,Lytic Vacuole (GO:0000323),24/223,0.00024053188943083,0.0046663186549581,0,0,2.387457793700363,19.893868999808657,ASAH1;SORT1;ATP6AP2;KLHL22;IFI30;MCOLN1;TMEM175;BBC3;RPTOR;TMEM25;AP3M1;RRAGA;SNX1;AP5M1;NPC2;EPG5;OCIAD2;LAMTOR4;RFFL;TINAG;LDLR;GLA;SNX6;LAMTOR5,Ileum-specific tip markers
GO_Cellular_Component_2023,Lysosome (GO:0005764),43/503,0.0002634535710739111,0.0047915618239067,0,0,1.8620428251539467,15.346274351873031,ASAH1;ABCB6;IFI30;ATRAID;BBC3;TMEM25;RPTOR;AP3M1;PIP4P2;SNX1;AP5M1;BLOC1S1;AP1S1;EPG5;RFFL;ATP6V0E2;LDLR;TINAG;AP1M2;ATP6V1C1;AP1M1;SNX6;MANBA;SORT1;ATP6AP2;AP3D1;KLHL22;LNPEP;MCOLN1;TMEM175;RMC1;RRAGA;CLCN4;WDR81;NPC2;GLB1;TMEM79;OCIAD2;LAMTOR4;UBA52;LAMTOR3;GLA;LAMTOR5,Ileum-specific tip markers
GO_Cellular_Component_2023,Ficolin-1-Rich Granule Lumen (GO:1904813),16/123,0.0003172858514709895,0.0054311872222387,0,0,2.949801682048084,23.76273938832093,PSMD12;VCP;ASAH1;PSMD14;COMMD3;MAPK14;EEF1A1;PSMA5;PSMB7;PSMD6;PSMC3;PSMA2;GLB1;ALDOA;PGM1;PAFAH1B2,Ileum-specific tip markers
GO_Cellular_Component_2023,Mitochondrial Outer Membrane Translocase Complex (GO:0005742),6/21,0.00038136693445597,0.0061654321070381,0,0,7.847265221878225,61.77169873962588,CHCHD3;TOMM7;IMMT;MICOS13;MICOS10;TOMM22,Ileum-specific tip markers
GO_Cellular_Component_2023,Organelle Envelope Lumen (GO:0031970),11/68,0.0004176380350178373,0.0063964562205363,0,0,3.7971900706122153,29.54553892619968,CHCHD4;TIMM8B;NLN;NDUFA8;HSD3B2;BLOC1S1;AK2;ARL2;CHCHD10;TRIAP1;COA7,Ileum-specific tip markers
GO_Biological_Process_2023,Protein N-linked Glycosylation (GO:0006487),12/64,5.292323619767906e-05,0.0073060527570895,0,0,4.54660915408579,44.76895117497583,DPM1;MGAT4C;TMEM258;RPN2;DAD1;DOLPP1;OSTC;PMM2;MAGT1;ALG11;STT3B;NUDT14,Ileum-specific tip markers
