group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Top villous SI,Ndfip1,102.031624,2.9512675,0.0,0.0,0.9516478619320599,0.7617276238073603
Top villous SI,Sult1b1,102.02876,7.8801737,0.0,0.0,0.9941053740352868,0.8683268968650614
Top villous SI,Ifi27l2b,101.99049,13.167325,0.0,0.0,0.9984402536107116,0.9423273512039981
Top villous SI,Ano6,101.9748,2.3765402,0.0,0.0,0.7324528531205056,0.40268627896410725
Top villous SI,Ccl5,101.918495,4.8008137,0.0,0.0,0.6978548423035631,0.34745570195365744
Top villous SI,Lmo7,101.89984,2.6858857,0.0,0.0,0.9017764903680596,0.684660381644707
Top villous SI,Cyp3a25,101.89152,6.698259,0.0,0.0,0.9290214110640711,0.6908223534756929
Top villous SI,Lypla1,101.85213,3.3972914,0.0,0.0,0.9671845564851014,0.8054293502953203
Top villous SI,Mall,101.79552,3.238606,0.0,0.0,0.9529037616221362,0.7452578373466606
Top villous SI,Cdipt,101.72739,2.8375924,0.0,0.0,0.9438086170923896,0.7586892321671967
Top villous SI,St14,101.72102,2.3758514,0.0,0.0,0.8735997731277979,0.6489379827351204
Top villous SI,Ctnna1,101.55783,3.7365162,0.0,0.0,0.9703445621569065,0.8399023171285779
Top villous SI,Ftl1,101.48374,48.0188,0.0,0.0,0.9994733323880325,0.9684518400726942
Top villous SI,Actr3,101.26295,3.7891111,0.0,0.0,0.9776166264913809,0.8606031349386642
Top villous SI,Pgrmc1,101.24989,4.764989,0.0,0.0,0.9818502238337351,0.8315254429804634
Top villous SI,Gde1,101.18402,2.6548178,0.0,0.0,0.9071444487208054,0.6152885052248978
Top villous SI,Trim25,101.121475,2.2723613,0.0,0.0,0.825733789778597,0.5672137664697865
Top villous SI,Vamp8,100.97932,7.2271066,0.0,0.0,0.9940243482488302,0.9232735120399819
Top villous SI,Crot,100.91698,2.429552,0.0,0.0,0.8900277513318614,0.6075931394820536
Top villous SI,Dnpep,100.90204,4.48869,0.0,0.0,0.9001559746389288,0.6906235801908224
Top villous SI,Exoc3l4,100.87008,3.5309212,0.0,0.0,0.9637612170073125,0.7534643343934575
Top villous SI,Slco2a1,100.78471,2.1586108,0.0,0.0,0.7085097332225981,0.3681849159472967
Top villous SI,4833439L19Rik,100.77821,2.5670512,0.0,0.0,0.9047136751271092,0.6625113584734211
Top villous SI,Sco2,100.61513,2.599707,0.0,0.0,0.8717969493791399,0.5916344843253066
Top villous SI,Slc7a7,100.58459,4.0454073,0.0,0.0,0.9785889359288593,0.805145388459791
Top villous SI,Erbb3,100.50571,2.5736315,0.0,0.0,0.9272388437620273,0.730804179918219
Top villous SI,Tollip,100.40504,2.1918054,0.0,0.0,0.7469969817894545,0.4449965924579736
Top villous SI,Tspan5,100.40451,2.146316,0.0,0.0,0.6825814815565053,0.32539186733303044
Top villous SI,Clec2h,100.392006,28.477291,0.0,0.0,0.9987035874166954,0.9611540208995911
Top villous SI,Plxnb2,100.11982,2.570133,0.0,0.0,0.9308444912593433,0.7474159472966834
Top villous SI,Mia2,99.95883,2.4948664,0.0,0.0,0.8808313245690441,0.6492787369377556
Top villous SI,Mafb,99.94517,2.166414,0.0,0.0,0.6973686875848238,0.350494093593821
Top villous SI,Lrp10,99.944786,2.3539915,0.0,0.0,0.9072052180606478,0.6853702862335302
Top villous SI,4930539E08Rik,99.83795,3.5335386,0.0,0.0,0.5336560860493852,0.17034870513403
Top villous SI,Tmem30b,99.8347,2.3892376,0.0,0.0,0.9131201004719752,0.6999659245797365
Top villous SI,Ormdl3,99.68352,2.1928785,0.0,0.0,0.7176251341989588,0.3901635620172649
