Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,analysis
GO_Biological_Process_2023,Protein-Containing Complex Organization (GO:0043933),26/126,0.0032109823268898,0.0370164008551405,0,0,1.9453947930004267,11.168858502438054,YAP1;BECN1;USH1C;CD3G;WASL;CD3E;SLC9A3R1;PARD6B;REPS2;SNX9;ELOB;CD74;DNAJB12;PDE4DIP;RANBP9;TAPBP;VIL1;OCLN;SLC7A9;CAPZA1;CAPZA2;MDM2;ANKS4B;NUP98;PICALM;VAMP3,Conserved Top Villous SI markers
GO_Biological_Process_2023,Myeloid Leukocyte Differentiation (GO:0002573),17/71,0.0032650373635336,0.0375437756890799,0,0,2.352678571428572,13.46787101024124,BATF2;CSF1R;SPI1;IL15;VEGFA;CDC42;IL1RL1;SBNO2;BMP2;CASP8;TYROBP;IGSF23;UBD;MYH9;F2RL1;PPARG;EPHA2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Vesicle-Mediated Transport (GO:0060627),20/89,0.0033238740650949,0.0381233170054925,0,0,2.167064615840228,12.366623573150852,MAP2K1;RAB5B;MAP2K2;SRC;YIPF5;STON2;ARFGAP3;PLD1;RAB11A;RAB11B;RAB21;OPHN1;RNF139;DNAJC5;PACSIN2;CHMP3;RAB8A;ATP9A;MAPK3;PICALM,Conserved Top Villous SI markers
GO_Biological_Process_2023,Vesicle-Mediated Transport To The Plasma Membrane (GO:0098876),19/83,0.0033375752737598,0.0381835510433431,0,0,2.219235372340425,12.655213460084132,DENND1B;STX12;SEC16A;WIPF3;CMTM6;LMTK2;VPS26A;SNF8;RAB11B;SNX3;EHD1;RAB10;HGS;SNX7;ANKRD50;RAB11FIP3;RAB11FIP4;ARF6;VPS35L,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Protein Catabolic Process (GO:0042177),14/54,0.0033720119338434,0.0382867385151722,0,0,2.6143736730360936,14.881657297877512,CTSA;GABARAPL2;TRIM40;ANXA2;ROCK1;FURIN;SIRT2;EGFR;AZIN1;SNX3;MAD2L2;OPHN1;RILP;PTPN3,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),12/43,0.0033553971011675,0.0382867385151722,0,0,2.8904977623277266,16.46770094081916,EGR1;JUN;SPI1;SRF;STAT3;PPARG;FOS;FOXO3;NR3C1;KLF4;HIF1A;EGFR,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Focal Adhesion Assembly (GO:0051893),14/54,0.0033720119338434,0.0382867385151722,0,0,2.6143736730360936,14.881657297877512,ROCK1;ROCK2;SRC;PTEN;PTPRJ;NRG1;THBS1;RHOA;ACTG1;CORO1C;VEGFA;KDR;RAC1;S100A10,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Leukocyte Activation (GO:0002694),6/14,0.0035361926916714,0.0385061560811165,0,0,5.593419382141346,31.573200347896613,LYN;CD74;MFHAS1;PLSCR1;LCK;MYO18A,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901030),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,GSK3B;GSK3A;MAPK8;GZMB;BOK,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Cytoskeleton Organization (GO:0051493),24/114,0.0034541045289928,0.0385061560811165,0,0,1.994712153518124,11.306411543769984,GSK3B;PATJ;CLIC4;LRP1;ROCK1;ROCK2;PRKCD;PDGFA;NEDD9;NRG1;F11R;IQGAP2;RHOA;CDC42;BST1;DAAM2;TAOK1;CAPN2;RAC1;EZR;PAK2;MARK2;ARHGEF5;MAPK3,Conserved Top Villous SI markers
GO_Biological_Process_2023,Vacuole Fusion (GO:0097576),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,CHMP1B;CHMP2B;CHMP4C;CHMP3;CHMP5,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Triglyceride Catabolic Process (GO:0010896),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,APOC2;APOC3;APOA4;ABHD5;PNPLA2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Serine Family Amino Acid Biosynthetic Process (GO:0009070),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,SRR;GGT1;SERINC3;SEPHS2;SERINC5,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717),6/14,0.0035361926916714,0.0385061560811165,0,0,5.593419382141346,31.573200347896613,CEACAM1;ERLIN1;APOC3;TRIB3;ERLIN2;WDTC1,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Defense Response To Virus (GO:0050687),6/14,0.0035361926916714,0.0385061560811165,0,0,5.593419382141346,31.573200347896613,ILRUN;ITCH;TSPAN6;PCBP2;NT5C2;ATG5,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Exosomal Secretion (GO:1903543),6/14,0.0035361926916714,0.0385061560811165,0,0,5.593419382141346,31.573200347896613,SDCBP;PDCD6IP;TSG101;HGS;VPS4B;SNF8,Conserved Top Villous SI markers
GO_Biological_Process_2023,Rap Protein Signal Transduction (GO:0032486),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,RAP1B;RAP2C;RAP1A;RAP2B;RAPGEF2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Programmed Necrotic Cell Death (GO:0062099),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,CASP8;PELI1;RIPK1;ARHGEF2;BIRC3,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of B Cell Apoptotic Process (GO:0002902),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,LYN;BCL6;ORMDL3;IRS2;FNIP1,Conserved Top Villous SI markers
GO_Biological_Process_2023,Lipoprotein Catabolic Process (GO:0042159),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,LYPLA1;ABHD17A;ABHD17C;APOE;CTSD,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Cytoplasmic Translation (GO:2000767),6/14,0.0035361926916714,0.0385061560811165,0,0,5.593419382141346,31.573200347896613,PKM;CSDE1;DHX36;YBX1;PABPC1;PAIP1,Conserved Top Villous SI markers
GO_Biological_Process_2023,Establishment Of Epithelial Cell Apical/Basal Polarity (GO:0045198),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,CDC42;SLC9A3R1;OPHN1;EZR;RHOA,Conserved Top Villous SI markers
GO_Biological_Process_2023,Negative Regulation Of Autophagosome Assembly (GO:1902902),5/10,0.0034971461277987,0.0385061560811165,0,0,7.45600676818951,42.169742989712624,PINK1;PHF23;FEZ2;SEC22B;MTM1,Conserved Top Villous SI markers
GO_Biological_Process_2023,Establishment Of Apical/Basal Cell Polarity (GO:0035089),6/14,0.0035361926916714,0.0385061560811165,0,0,5.593419382141346,31.573200347896613,CDC42;SLC9A3R1;PATJ;OPHN1;EZR;RHOA,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Hypertrophy (GO:0010611),8/23,0.0036308473844847,0.038789123712734,0,0,3.979330792037272,22.35703128652837,MEF2A;MTPN;SMAD4;RGS2;P2RX4;ROCK1;ROCK2;PDE9A,Conserved Top Villous SI markers
GO_Biological_Process_2023,Cellular Response To Interleukin-6 (GO:0071354),8/23,0.0036308473844847,0.038789123712734,0,0,3.979330792037272,22.35703128652837,YAP1;SMAD4;SBNO2;SPI1;SRC;STAT3;JAK2;JAK1,Conserved Top Villous SI markers
